bus_id,pd,zone_id,base_kv
107817,4.905,2,69.0
107818,4.905,2,69.0
107819,4.905,2,69.0
107820,4.921,2,161.0
107821,4.921,2,161.0
107822,8.676,2,69.0
107823,8.676,2,69.0
107824,8.676,2,115.0
107825,8.676,2,69.0
107826,0.0,2,161.0
107827,3.05,2,115.0
107828,3.05,2,115.0
107829,3.05,2,115.0
107830,3.05,2,115.0
107831,3.05,2,115.0
107832,3.05,2,115.0
107833,3.05,2,115.0
107834,3.05,2,115.0
107835,3.05,2,115.0
107836,3.05,2,115.0
107837,3.05,2,115.0
107838,3.05,2,115.0
107839,3.05,2,115.0
107841,3.05,2,115.0
107842,3.05,2,115.0
107843,3.05,2,115.0
107844,3.05,2,115.0
107845,0.0,2,161.0
107847,0.0,2,161.0
107848,0.0,2,161.0
107849,0.0,2,161.0
107850,14.149,2,69.0
107851,0.0,2,161.0
107852,14.149,2,69.0
107853,0.0,2,161.0
107854,14.149,2,69.0
107855,14.149,2,115.0
107856,14.149,2,69.0
107857,14.149,2,69.0
107858,0.0,2,161.0
107859,14.149,2,69.0
107860,14.149,2,69.0
107861,14.149,2,69.0
107863,0.0,2,161.0
107864,14.149,2,69.0
107865,14.149,2,69.0
107866,14.149,2,69.0
107867,14.149,2,69.0
107868,14.149,2,69.0
107869,0.0,2,161.0
107870,39.578,2,115.0
107871,39.578,2,115.0
107872,0.0,2,138.0
107873,0.0,2,161.0
107874,2.189,2,69.0
107875,2.189,2,115.0
107876,2.189,2,69.0
107877,2.189,2,115.0
107878,10.786,2,115.0
107879,1.895,2,115.0
107880,1.895,2,115.0
107881,1.895,2,115.0
107882,0.0,2,172.5
107883,1.895,2,115.0
107884,1.895,2,69.0
107885,1.895,2,92.0
107886,1.895,2,115.0
107887,1.895,2,69.0
107888,1.895,2,69.0
107889,4.527,2,115.0
107890,4.527,2,115.0
107891,4.527,2,115.0
107892,4.527,2,115.0
107893,4.527,2,115.0
107894,5.948,2,69.0
107895,5.948,2,115.0
107896,5.948,2,69.0
107897,5.948,2,69.0
107898,5.948,2,69.0
107899,0.0,2,161.0
107900,5.948,2,69.0
107901,5.948,2,69.0
107902,5.948,2,69.0
107903,20.545,2,115.0
107904,20.545,2,69.0
107905,0.0,2,161.0
107906,20.545,2,69.0
107907,0.0,2,161.0
107908,20.545,2,69.0
107909,20.545,2,69.0
107912,20.545,2,115.0
107913,0.0,2,161.0
107914,0.0,2,161.0
107915,0.0,2,161.0
107916,20.545,2,69.0
107917,20.545,2,69.0
107918,0.0,2,161.0
107919,20.545,2,69.0
107920,20.545,2,69.0
107921,0.0,2,161.0
107922,20.545,2,69.0
107924,20.545,2,69.0
107925,20.545,2,69.0
107926,20.545,2,69.0
107927,0.0,2,161.0
107928,0.0,2,253.0
107930,10.719,2,161.0
107931,10.719,2,161.0
107932,10.719,2,161.0
107933,10.719,2,161.0
107934,3.122,2,115.0
107935,3.122,2,115.0
107936,2.087,2,115.0
107937,2.087,2,115.0
107938,2.087,2,115.0
107939,0.0,2,161.0
107940,9.368,2,69.0
107941,0.0,2,161.0
107942,9.368,2,69.0
107943,9.368,2,115.0
107944,9.368,2,69.0
107945,0.0,2,161.0
107946,0.0,2,161.0
107947,0.0,2,161.0
107949,2.667,2,115.0
107950,2.667,2,115.0
107951,3.214,2,115.0
107952,3.214,2,115.0
107953,3.658,2,115.0
107956,3.325,2,161.0
107958,3.325,2,161.0
107959,3.325,2,161.0
107962,0.0,2,161.0
